_id,latitude,longitude,transaction_status
659437e84e83923ff7707a05,20.87N,72.94E,TRANSACTION_SUCCESS
659437e84e83923ff7707a06,15.41N,73.16E,TRANSACTION_FAILED
659437e84e83923ff7707a07,21.34N,73.30E,TRANSACTION_SUCCESS
659437e84e83923ff7707a08,16.99N,78.72E,TRANSACTION_SUCCESS
659437e84e83923ff7707a09,22.06N,74.01E,TRANSACTION_SUCCESS
659437e84e83923ff7707a0a,17.40N,78.96E,TRANSACTION_SUCCESS
659437e84e83923ff7707a0b,21.81N,79.07E,TRANSACTION_SUCCESS
659437e94e83923ff7707a0c,18.57N,80.11E,TRANSACTION_SUCCESS
659437e94e83923ff7707a0d,15.55N,75.32E,TRANSACTION_SUCCESS
659437e94e83923ff7707a0e,17.85N,73.54E,TRANSACTION_SUCCESS
659437e94e83923ff7707a0f,18.17N,73.55E,TRANSACTION_SUCCESS
659437e94e83923ff7707a10,16.14N,73.07E,TRANSACTION_SUCCESS
659437e94e83923ff7707a11,20.68N,78.76E,TRANSACTION_SUCCESS
659437e94e83923ff7707a12,17.96N,77.92E,TRANSACTION_SUCCESS
659437e94e83923ff7707a13,16.34N,72.38E,TRANSACTION_SUCCESS
659437e94e83923ff7707a14,16.44N,72.51E,TRANSACTION_SUCCESS
659437e94e83923ff7707a15,19.64N,78.11E,TRANSACTION_SUCCESS
659437ea4e83923ff7707a16,22.07N,78.92E,TRANSACTION_SUCCESS
659437ea4e83923ff7707a17,16.93N,74.42E,TRANSACTION_SUCCESS
659437ea4e83923ff7707a18,19.00N,75.54E,TRANSACTION_SUCCESS
659437ea4e83923ff7707a19,17.75N,72.92E,TRANSACTION_SUCCESS
659437ea4e83923ff7707a1a,18.95N,75.38E,TRANSACTION_SUCCESS
659437ea4e83923ff7707a1b,18.37N,78.85E,TRANSACTION_SUCCESS
659437ea4e83923ff7707a1c,20.99N,79.70E,TRANSACTION_SUCCESS
659437ea4e83923ff7707a1d,19.81N,76.82E,TRANSACTION_SUCCESS
659437ea4e83923ff7707a1e,21.60N,73.22E,TRANSACTION_PENDING
