id,ammount,transactionStatus,transactionTime,transactionCompletion,TRANSACTION_CITY
20231029123804216,832,,2023-10-29T07:08:04.250+00:00,2023-10-29T07:08:04.249+00:00,"{'latitude': '20.31N', 'longitude': '74.81E'}"
20231029124705500,832,TRANSACTION_SUCCESS,2023-10-29T07:17:05.539+00:00,2023-10-29T07:17:05.538+00:00,"{'latitude': '18.71N', 'longitude': '79.90E'}"
20231029124934638,832,TRANSACTION_SUCCESS,2023-10-29T07:19:34.661+00:00,2023-10-29T07:19:34.661+00:00,"{'latitude': '15.97N', 'longitude': '76.46E'}"
20231029125057568,832,TRANSACTION_SUCCESS,2023-10-29T07:20:57.598+00:00,2023-10-29T07:20:57.598+00:00,"{'latitude': '15.39N', 'longitude': '77.64E'}"
20231029125147610,832,TRANSACTION_SUCCESS,2023-10-29T07:21:47.635+00:00,2023-10-29T07:21:47.635+00:00,"{'latitude': '21.98N', 'longitude': '77.01E'}"
20231029125251914,832,TRANSACTION_PENDING,2023-10-29T07:22:51.938+00:00,2023-10-29T07:22:51.937+00:00,"{'latitude': '21.56N', 'longitude': '72.53E'}"
20231029130832340,832,TRANSACTION_SUCCESS,2023-10-29T07:38:32.366+00:00,2023-10-29T07:38:32.366+00:00,"{'latitude': '16.98N', 'longitude': '79.70E'}"
20231029130959684,832,TRANSACTION_SUCCESS,2023-10-29T07:39:59.685+00:00,2023-10-29T07:39:59.685+00:00,"{'latitude': '15.44N', 'longitude': '80.33E'}"
20231029131221372,832,TRANSACTION_FAILED,2023-10-29T07:42:21.397+00:00,2023-10-29T07:42:21.397+00:00,"{'latitude': '19.95N', 'longitude': '78.80E'}"
20231029131241100,832,TRANSACTION_FAILED,2023-10-29T07:42:41.101+00:00,2023-10-29T07:42:41.101+00:00,"{'latitude': '21.50N', 'longitude': '79.56E'}"
20231029132332424,832,TRANSACTION_FAILED,2023-10-29T07:53:32.425+00:00,2023-10-29T07:53:32.425+00:00,"{'latitude': '15.96N', 'longitude': '74.42E'}"
20231029132351474,832,TRANSACTION_FAILED,2023-10-29T07:53:51.474+00:00,2023-10-29T07:53:51.474+00:00,"{'latitude': '19.03N', 'longitude': '80.28E'}"
20231029132455858,832,TRANSACTION_FAILED,2023-10-29T07:54:55.882+00:00,2023-10-29T07:54:55.882+00:00,"{'latitude': '16.12N', 'longitude': '74.61E'}"
20231029132706101,832,TRANSACTION_FAILED,2023-10-29T07:57:06.127+00:00,2023-10-29T07:57:06.126+00:00,"{'latitude': '15.69N', 'longitude': '75.18E'}"
20231029132822213,832,TRANSACTION_FAILED,2023-10-29T07:58:22.235+00:00,2023-10-29T07:58:22.235+00:00,"{'latitude': '15.90N', 'longitude': '78.47E'}"
20231029133441231,832,TRANSACTION_FAILED,2023-10-29T08:04:41.254+00:00,2023-10-29T08:04:41.254+00:00,"{'latitude': '21.70N', 'longitude': '73.98E'}"
20231029133500912,832,TRANSACTION_FAILED,2023-10-29T08:05:00.912+00:00,2023-10-29T08:05:00.912+00:00,"{'latitude': '19.20N', 'longitude': '78.74E'}"
20231029133515363,832,TRANSACTION_FAILED,2023-10-29T08:05:15.363+00:00,2023-10-29T08:05:15.363+00:00,"{'latitude': '18.91N', 'longitude': '75.78E'}"
20231029133550773,832,TRANSACTION_FAILED,2023-10-29T08:05:50.774+00:00,2023-10-29T08:05:50.774+00:00,"{'latitude': '21.73N', 'longitude': '74.41E'}"
20231029141147074,832,,2023-10-29T08:41:47.099+00:00,2023-10-29T08:41:47.099+00:00,"{'latitude': '18.32N', 'longitude': '74.63E'}"
20231029141656886,832,,2023-10-29T08:46:56.886+00:00,2023-10-29T08:46:56.886+00:00,"{'latitude': '21.19N', 'longitude': '78.04E'}"
20231029142224590,832,,2023-10-29T08:52:24.591+00:00,2023-10-29T08:52:24.591+00:00,"{'latitude': '21.79N', 'longitude': '78.64E'}"
20231029142823343,832,TRANSACTION_SUCCESS,2023-10-29T08:58:23.363+00:00,2023-10-29T08:58:23.363+00:00,"{'latitude': '19.14N', 'longitude': '76.09E'}"
20231029145911002,6000,TRANSACTION_SUCCESS,2023-10-29T09:29:11.010+00:00,2023-10-29T09:29:11.010+00:00,"{'latitude': '20.86N', 'longitude': '76.73E'}"
TransactionID_1,9967,TRANSACTION_FAILED,2023-11-26T06:01:19.209+00:00,2023-11-26T06:01:19.209+00:00,"{'latitude': '16.68N', 'longitude': '72.46E'}"
TransactionID_2,8508,TRANSACTION_SUCCESS,2023-11-26T06:01:19.209+00:00,2023-11-26T06:01:19.209+00:00,"{'latitude': '16.18N', 'longitude': '79.19E'}"
TransactionID_3,752,TRANSACTION_FAILED,2023-11-26T06:01:19.209+00:00,2023-11-26T06:01:19.209+00:00,"{'latitude': '20.01N', 'longitude': '77.58E'}"
TransactionID_4,4154,TRANSACTION_FAILED,2023-11-26T06:01:19.209+00:00,2023-11-26T06:01:19.209+00:00,"{'latitude': '16.70N', 'longitude': '77.35E'}"
TransactionID_5,821,TRANSACTION_SUCCESS,2023-11-26T06:01:19.209+00:00,2023-11-26T06:01:19.209+00:00,"{'latitude': '21.68N', 'longitude': '80.11E'}"
TransactionID_6,4824,TRANSACTION_SUCCESS,2023-11-26T06:01:19.209+00:00,2023-11-26T06:01:19.209+00:00,"{'latitude': '20.61N', 'longitude': '75.58E'}"
TransactionID_7,8231,TRANSACTION_SUCCESS,2023-11-26T06:01:19.209+00:00,2023-11-26T06:01:19.209+00:00,"{'latitude': '16.05N', 'longitude': '76.21E'}"
TransactionID_8,5107,TRANSACTION_PENDING,2023-11-26T06:01:19.209+00:00,2023-11-26T06:01:19.209+00:00,"{'latitude': '16.18N', 'longitude': '74.87E'}"
TransactionID_9,542,TRANSACTION_SUCCESS,2023-11-26T06:01:19.209+00:00,2023-11-26T06:01:19.209+00:00,"{'latitude': '17.72N', 'longitude': '78.81E'}"
TransactionID_10,3902,TRANSACTION_SUCCESS,2023-11-26T06:01:19.209+00:00,2023-11-26T06:01:19.209+00:00,"{'latitude': '20.17N', 'longitude': '73.48E'}"
TransactionID_11,6614,TRANSACTION_FAILED,2023-11-26T06:01:19.209+00:00,2023-11-26T06:01:19.209+00:00,"{'latitude': '20.63N', 'longitude': '75.73E'}"
TransactionID_12,2385,TRANSACTION_SUCCESS,2023-11-26T06:01:19.209+00:00,2023-11-26T06:01:19.209+00:00,"{'latitude': '17.89N', 'longitude': '75.42E'}"
TransactionID_13,3143,TRANSACTION_PENDING,2023-11-26T06:01:19.209+00:00,2023-11-26T06:01:19.209+00:00,"{'latitude': '17.56N', 'longitude': '73.29E'}"
TransactionID_14,9586,TRANSACTION_PENDING,2023-11-26T06:01:19.209+00:00,2023-11-26T06:01:19.209+00:00,"{'latitude': '16.66N', 'longitude': '74.62E'}"
TransactionID_15,8654,TRANSACTION_PENDING,2023-11-26T06:01:19.209+00:00,2023-11-26T06:01:19.209+00:00,"{'latitude': '21.52N', 'longitude': '75.86E'}"
TransactionID_16,6795,TRANSACTION_FAILED,2023-11-26T06:01:19.209+00:00,2023-11-26T06:01:19.209+00:00,"{'latitude': '18.69N', 'longitude': '73.28E'}"
TransactionID_17,5313,TRANSACTION_PENDING,2023-11-26T06:01:19.209+00:00,2023-11-26T06:01:19.209+00:00,"{'latitude': '16.08N', 'longitude': '75.32E'}"
TransactionID_18,8364,TRANSACTION_SUCCESS,2023-11-26T06:01:19.209+00:00,2023-11-26T06:01:19.209+00:00,"{'latitude': '19.55N', 'longitude': '74.33E'}"
TransactionID_19,5217,TRANSACTION_SUCCESS,2023-11-26T06:01:19.209+00:00,2023-11-26T06:01:19.209+00:00,"{'latitude': '20.82N', 'longitude': '72.69E'}"
TransactionID_20,2009,TRANSACTION_PENDING,2023-11-26T06:01:19.209+00:00,2023-11-26T06:01:19.209+00:00,"{'latitude': '20.87N', 'longitude': '74.55E'}"
TransactionID_21,1109,TRANSACTION_SUCCESS,2023-11-26T06:01:19.209+00:00,2023-11-26T06:01:19.209+00:00,"{'latitude': '16.38N', 'longitude': '78.55E'}"
TransactionID_22,6429,TRANSACTION_FAILED,2023-11-26T06:01:19.209+00:00,2023-11-26T06:01:19.209+00:00,"{'latitude': '16.28N', 'longitude': '78.61E'}"
TransactionID_23,8687,TRANSACTION_SUCCESS,2023-11-26T06:01:19.209+00:00,2023-11-26T06:01:19.209+00:00,"{'latitude': '17.73N', 'longitude': '75.60E'}"
TransactionID_24,5426,TRANSACTION_SUCCESS,2023-11-26T06:01:19.209+00:00,2023-11-26T06:01:19.209+00:00,"{'latitude': '20.68N', 'longitude': '72.57E'}"
TransactionID_25,9976,TRANSACTION_SUCCESS,2023-11-26T06:01:19.209+00:00,2023-11-26T06:01:19.209+00:00,"{'latitude': '20.87N', 'longitude': '79.64E'}"
TransactionID_26,7545,TRANSACTION_SUCCESS,2023-11-26T06:01:19.209+00:00,2023-11-26T06:01:19.209+00:00,"{'latitude': '16.81N', 'longitude': '79.80E'}"
TransactionID_27,6568,TRANSACTION_SUCCESS,2023-11-26T06:01:19.209+00:00,2023-11-26T06:01:19.209+00:00,"{'latitude': '18.03N', 'longitude': '74.59E'}"
TransactionID_28,1830,TRANSACTION_SUCCESS,2023-11-26T06:01:19.209+00:00,2023-11-26T06:01:19.209+00:00,"{'latitude': '21.95N', 'longitude': '78.52E'}"
TransactionID_29,152,TRANSACTION_PENDING,2023-11-26T06:01:19.209+00:00,2023-11-26T06:01:19.209+00:00,"{'latitude': '21.74N', 'longitude': '76.12E'}"
TransactionID_30,2568,TRANSACTION_PENDING,2023-11-26T06:01:19.209+00:00,2023-11-26T06:01:19.209+00:00,"{'latitude': '20.54N', 'longitude': '76.31E'}"
TransactionID_31,2034,TRANSACTION_FAILED,2023-11-26T06:01:19.209+00:00,2023-11-26T06:01:19.209+00:00,"{'latitude': '20.79N', 'longitude': '79.73E'}"
TransactionID_32,1242,TRANSACTION_SUCCESS,2023-11-26T06:01:19.209+00:00,2023-11-26T06:01:19.209+00:00,"{'latitude': '18.64N', 'longitude': '77.49E'}"
TransactionID_33,2376,TRANSACTION_SUCCESS,2023-11-26T06:01:19.209+00:00,2023-11-26T06:01:19.209+00:00,"{'latitude': '17.74N', 'longitude': '80.18E'}"
